#S_x, S_y
0.05043169531187175, 1.0001774937877175
6.455256999919307, 0.9720743107324578
15.532962156055838, 0.9333215004141523
24.711530702816113, 0.8975269198911373
33.99096264020012, 0.8593657555318899
44.430323569757114, 0.818542184356881
54.214072460259835, 0.7812684889362207
64.95602356168806, 0.7395574488226246
74.03372871782457, 0.7055378061767839
87.59985475671752, 0.6543604307182583
99.7034616315662, 0.6126493906046623
113.57217784233038, 0.5644302449414271
128.14693778746067, 0.5141403384214887
140.80529331073996, 0.47331676724647986
158.05293310739935, 0.41947698497219277
169.0470426853869, 0.38516151934682297
169.0470426853869, 0.38516151934682297
182.56273702896797, 0.34729617796710455
192.19519083353507, 0.3188971719323159
204.34922940369566, 0.2860608212045913
213.93125151295087, 0.26209915986273835
227.54780924715564, 0.22896698615548472
238.89494069232634, 0.20175127203881205
250.0403453562495, 0.17571884984025565
