#S_x, S_y
0.012334714821392367, 1.0007595486111112
9.057792250509834, 0.9657961998456791
18.668590882178805, 0.931737075617284
29.41007170580884, 0.8931568287037037
40.71689362541938, 0.8536723572530864
52.486267350832186, 0.8135850694444445
63.63890533517533, 0.7741005979938271
75.81943622130123, 0.7328076774691359
87.07486349582263, 0.6942274305555556
98.3816854154332, 0.6565514081790124
109.17456088415236, 0.6200810185185186
123.41087757384383, 0.5733627507716049
138.9834550358529, 0.5221233603395061
151.2667752121571, 0.4823374807098765
166.63377409380962, 0.43531780478395066
179.5852246562726, 0.39432629243827166
196.59685218077757, 0.34308690200617287
212.1180349976975, 0.29817708333333326
223.06509440168406, 0.2662278163580247
234.88586277218604, 0.2348813657407407
249.99588842839285, 0.19328703703703698
