#CO2_x, CO2_y
3.08297579405739,0.006236735001507343
12.289078509221326,0.00651635514018678
21.495181224385263,0.00651635514018678
30.7012839395492,0.00651635514018678
39.907386654713136,0.007243367500753273
49.11348936987707,0.008249999999999869
58.31959208504101,0.008249999999999869
67.52569480020495,0.008809240277358965
76.73179751536888,0.009983644859812957
85.93790023053282,0.010263264998492394
95.14400294569677,0.011717289719626045
104.35010566086069,0.012751884232740318
113.55620837602464,0.014122022912269827
122.76231109118856,0.015939553813686835
131.96841380635252,0.018148552909255322
141.17451652151644,0.02136418450406996
150.3806192366804,0.02555848658426263
159.5867219518443,0.033824096991341035
177.99892738217218,0.05919393067991163
186.31411693135252,0.09670056074766331
192.2535380379099,0.15254704049844225
195.03233862704926,0.2069380841121493
196.73285145577194,0.2631680295950155
197.76100124580856,0.31912404418011886
198.7640573277901,0.3793166786484543
199.63212656644077,0.44792900790797985
200.10977231976537,0.513607476635514
200.75963755122956,0.5824579439252336
200.8656986424181,0.6354827102803738
202.2119674265711,0.791857476635514
202.54853462260934,0.8625516614745588
203.53843814036892,0.924481308411215
216.902135630123,0.9998948598130842
226.10823834528694,0.9998948598130842
235.31434106045091,0.9998948598130842
244.52044377561484,1.001796276756105
201.84426229508196,0.7128971962616824
167.77663934426232,0.040000000000000036
205.68647540983608,0.9955140186915888
250.00000000000003,1.0014953271028038
