#S_x, S_y
0, 0.9999999999999999
4.580520732883315, 0.9372340425531913
10.306171648987466, 0.8663120567375886
15.429122468659592, 0.8010638297872339
20.250723240115725, 0.7393617021276595
26.458534233365484, 0.6613475177304964
33.08823529411765, 0.5875886524822694
39.2960462873674, 0.5159574468085106
45.26277724204435, 0.451418439716312
51.95274831243974, 0.3797872340425531
58.40163934426229, 0.31666666666666654
65.87512054001928, 0.2464539007092198
72.20347155255546, 0.1921985815602837
79.73722275795565, 0.13617021276595742
88.23529411764706, 0.0790780141843972
96.49228543876565, 0.03652482269503543
104.80954676952747, 0.008865248226950229
118.67164898746385, 0
137.11427193828348, 0
151.51880424300867, 0
165.80279652844746, 0
180.44840887174541, 0
197.98698167791707, 0
212.75313404050144, 0
228.54387656702022, 0
242.28543876567022, 0
249.99999999999994, 0
