#S_x, S_y
0, 1
9.88002822865208, 0.9165370658372214
19.76005645730416, 0.838258164852255
27.346506704304865, 0.7776049766718507
36.87367678193366, 0.7076205287713841
44.724770642201825, 0.6485225505443235
53.10515172900494, 0.5894245723172628
61.57374735356387, 0.5313634007257645
71.6302046577276, 0.4655261793675479
80.4516584333098, 0.41005702436495584
93.59562455892728, 0.33281493001555196
105.06351446718418, 0.27112493519958514
116.97247706422019, 0.2109901503369621
130.20465772759349, 0.15396578538102623
139.46718419195483, 0.11715914981855868
151.0232886379675, 0.07983411093830983
160.99153140437542, 0.051840331778123305
172.63585038814395, 0.02592016588906154
182.7805222300635, 0.009849663037843293
202.80522230063514, 0
219.65419901199715, 0
240.29640084685957, 0
250, 0
