#S_x, S_y
0, 1
5.822159491884257, 0.9030585795749093
10.585744530698655, 0.8278900984966304
15.172900494001404, 0.7547952306894763
20.377558221594917, 0.678589942975635
24.87649964714184, 0.6127527216174182
29.81651376146788, 0.5469155002592015
35.638673253352145, 0.4675997926386729
41.99011997177134, 0.3903576982892689
47.54763585038814, 0.32452047693105224
54.51658433309809, 0.2545360290305857
62.103034580098786, 0.18144116122343168
70.30698659139026, 0.11664074650077749
80.18701482004232, 0.05546915500259186
91.5666901905434, 0.01296008294453066
105.06351446718418, 0
121.4714184897671, 0
137.7911079745942, 0
154.72829922371204, 0
168.13690896259703, 0
180.83980239943543, 0
196.63020465772757, -0.0005184033177814129
210.12702893436838, 0
223.80028228652077, 0
237.3853211009174, 0
250, 0
