#S_x, S_y
0, 1
8.330470628649955, 0.9303382130237254
17.004465819306084, 0.8626956082786472
25.33493644795604, 0.795557799091368
34.86774304362763, 0.7248864209994952
43.541738234283756, 0.6592629984856133
52.90278254895226, 0.5956587582029278
61.49089659910683, 0.5305401312468451
71.79663345929235, 0.47097425542655225
80.64239093095156, 0.40787481070166587
87.77052559257987, 0.36597677940434126
96.78804534524217, 0.31347804139323576
106.92201992442462, 0.2599697122665321
117.14187564410854, 0.2089853609288238
130.45345242184817, 0.1509338717819283
141.1885949845414, 0.10853104492680454
152.69666781174857, 0.07117617364967188
162.48711782892474, 0.045431600201918165
176.14221916867058, 0.01665825340737004
188.93850910340092, 0.002019182231196348
203.88182755066993, 0
219.2545517004466, 0
232.6520096186877, 0
242.44245963586394, 0
250, -0.0005047955577992536
